date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:36:49	275255/275255	---M-Z	200	added ('OK')	text/html	etag:W/%22de86ad99f17ed0bbfe19861a356dd7b4%22	https://ellipse-glockenspiel-8wf8.squarespace.com/	/home/jer/websites/sgb/ellipse-glockenspiel-8wf8.squarespace.com/index.html	(from )
22:36:49	344/344	---M-Z	200	added ('OK')	text/plain	date:Fri,%2020%20Jan%202023%2022:36:48%20GMT	https://ellipse-glockenspiel-8wf8.squarespace.com/robots.txt		(from )
22:36:50	252812/252812	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Jan%202023%2022:36:49%20GMT	https://ellipse-glockenspiel-8wf8.squarespace.com/cart	/home/jer/websites/sgb/ellipse-glockenspiel-8wf8.squarespace.com/cart.html	(from https://ellipse-glockenspiel-8wf8.squarespace.com/)
22:36:51	259144/259144	---MCZ	200	added ('OK')	text/html	etag:W/%22dd670e407e3e81bf3364fa9e18c697e5--gzip%22	https://ellipse-glockenspiel-8wf8.squarespace.com/about	/home/jer/websites/sgb/ellipse-glockenspiel-8wf8.squarespace.com/about.html	(from https://ellipse-glockenspiel-8wf8.squarespace.com/)
22:36:52	273142/273142	---MCZ	200	added ('OK')	text/html	etag:W/%2204fe25ca557e7874f97090c78e0d11b1--gzip%22	https://ellipse-glockenspiel-8wf8.squarespace.com/current-info	/home/jer/websites/sgb/ellipse-glockenspiel-8wf8.squarespace.com/current-info.html	(from https://ellipse-glockenspiel-8wf8.squarespace.com/)
22:36:52	0/0	---M--	302	error ('Found')	text/html	etag:W/%229d92abd4a57d08b76882cd6f093f390f%22	https://ellipse-glockenspiel-8wf8.squarespace.com/documents	/home/jer/websites/sgb/ellipse-glockenspiel-8wf8.squarespace.com/documents.3.delayed	(from https://ellipse-glockenspiel-8wf8.squarespace.com/)
22:36:54	262937/262937	---MCZ	200	added ('OK')	text/html	etag:W/%223d8301fa4f02500fa64d6878e224fe2c--gzip%22	https://ellipse-glockenspiel-8wf8.squarespace.com/quick-links	/home/jer/websites/sgb/ellipse-glockenspiel-8wf8.squarespace.com/quick-links.html	(from https://ellipse-glockenspiel-8wf8.squarespace.com/)
22:36:55	247164/247164	---MCZ	200	added ('OK')	text/html	etag:W/%225e757efec24f3f4169c164ddee8441bc--gzip%22	https://ellipse-glockenspiel-8wf8.squarespace.com/new-group-application	/home/jer/websites/sgb/ellipse-glockenspiel-8wf8.squarespace.com/new-group-application.html	(from https://ellipse-glockenspiel-8wf8.squarespace.com/)
22:36:56	253367/253367	---MCZ	200	added ('OK')	text/html	etag:W/%2284e7975df9bfd40eca5eb5600d3c3ccf--gzip%22	https://ellipse-glockenspiel-8wf8.squarespace.com/references	/home/jer/websites/sgb/ellipse-glockenspiel-8wf8.squarespace.com/references.html	(from https://ellipse-glockenspiel-8wf8.squarespace.com/)
22:36:57	252981/252981	---MCZ	200	added ('OK')	text/html	etag:W/%2200a028562637eacbfcf7d417e08d45a1--gzip%22	https://ellipse-glockenspiel-8wf8.squarespace.com/contact-us	/home/jer/websites/sgb/ellipse-glockenspiel-8wf8.squarespace.com/contact-us.html	(from https://ellipse-glockenspiel-8wf8.squarespace.com/)
22:36:57	77567/77567	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2020%20Jan%202023%2022:36:57%20UTC	https://ellipse-glockenspiel-8wf8.squarespace.com/%22https://www.google.com/calendar/embed?height=600&amp;wkst=1&amp;bgcolor=%23FFFFFF&amp;src=tteaso2ecatgrt54sie78grr3c%40group.calendar.google.com&amp;color=%230F4B38&amp;ctz=America%2FNew_York\%22	/home/jer/websites/sgb/ellipse-glockenspiel-8wf8.squarespace.com/_https_/www.google.com/calendar/embed.85dc7.delayed	(from https://ellipse-glockenspiel-8wf8.squarespace.com/)
